Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2022-06-22 21:02:51,EQUIP,SPECIAL_OFFER,30/150/30/130,SLUGSHELL,77,BK Slug,★★
2022-06-22 21:03:01,EQUIP,SPECIAL_OFFER,30/150/30/130,SLUGSHELL,77,BK Slug,★★
2022-06-22 21:03:01,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,73,#1 Buckshot,★★
2022-06-22 21:03:07,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,74,#0 Buckshot,★★★
2022-06-22 21:03:07,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,73,#1 Buckshot,★★
2022-06-22 21:03:13,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,75,#00 Buckshot,★★★★
2022-06-22 21:03:13,EQUIP,SPECIAL_OFFER,30/150/30/130,FLASHBANG,235,Shotgun Flash Shells,★★★★★
2022-11-27 13:05:09,GUN,NORMAL,400/91/400/30,AR,349,AK74M,★★★★,
2022-11-27 13:05:09,GUN,NORMAL,400/91/400/30,RF,44,SV-98,★★★,
2022-11-27 13:13:31,EQUIP,NORMAL,210/210/50/110,AP,17,M61 Armor-Piercing Ammo,★★,
2022-11-27 13:13:31,EQUIP,NORMAL,210/210/50/110,SLUGSHELL,77,BK Slug,★★,
2022-11-27 13:13:34,EQUIP,NORMAL,210/210/50/110,BIRDSHOT,230,#6 Birdshot,★★★★,
2022-11-27 13:13:34,EQUIP,NORMAL,210/210/50/110,NIGHTEQUIP,13,PEQ-2,★★,
2023-01-01 13:21:57,EQUIP,NORMAL,30/150/30/130,BUCKSHOT,75,#00 Buckshot,★★★★,
2023-01-01 13:21:57,EQUIP,NORMAL,30/150/30/130,BIRDSHOT,230,#6 Birdshot,★★★★,
2023-01-01 13:21:59,EQUIP,NORMAL,30/150/30/130,SLUGSHELL,77,BK Slug,★★,
2023-01-01 13:21:59,EQUIP,NORMAL,30/150/30/130,OPTICAL,1,BM 3-12X40,★★,
2023-01-01 13:22:04,GUN,NORMAL,400/100/400/200,SMG,18,Ingram,★★★,
2023-01-01 13:22:04,GUN,NORMAL,400/100/400/200,SMG,21,PPSh-41,★★,
2023-01-01 13:22:07,GUN,NORMAL,400/100/400/200,RF,39,Mosin-Nagant,★★★★,
2023-01-01 13:22:07,GUN,NORMAL,400/100/400/200,SMG,27,Skorpion,★★★,
2023-04-29 14:23:06,EQUIP,SPECIAL_OFFER,140/20/300/60,NIGHTEQUIP,14,PEQ-5,★★★,
2023-04-29 14:23:06,EQUIP,SPECIAL_OFFER,140/20/300/60,NIGHTEQUIP,13,PEQ-2,★★,
2023-04-29 14:23:12,EQUIP,SPECIAL_OFFER,140/20/300/60,NIGHTEQUIP,13,PEQ-2,★★,
2023-04-29 14:23:12,EQUIP,SPECIAL_OFFER,140/20/300/60,NIGHTEQUIP,13,PEQ-2,★★,
2023-05-07 12:31:45,GUN,WISH-NORMAL,400/400/100/200,AR,118,9A-91,★★★★,
2023-05-07 12:31:45,GUN,WISH-NORMAL,400/400/100/200,SMG,31,M38,★★,
2023-05-14 15:06:00,GUN,NORMAL,400/400/100/200,SMG,94,Type64,★★,
2023-05-14 15:06:00,GUN,NORMAL,400/400/100/200,SMG,31,M38,★★,
2023-05-14 15:06:00,GUN,NORMAL,400/400/100/200,SMG,24,PP-2000,★★,
2023-05-14 15:06:00,GUN,NORMAL,400/400/100/200,SMG,92,Spectre M4,★★,
2023-06-16 23:37:26,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-06-16 23:37:26,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-06-16 23:37:26,EQUIP,SPECIAL_OFFER,280/40/600/120,FLASHLIGHT,305,S.F. Modified Tactical Light,★★★★★,
2023-06-16 23:37:26,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:24,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:24,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-02 13:22:24,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:24,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-02 13:22:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,16,PEQ-16A,★★★★★,
2023-07-02 13:22:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-02 13:22:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:31,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-02 13:22:31,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-02 13:22:31,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-02 13:22:31,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-07 22:33:21,GUN,NORMAL,400/400/100/200,AR,71,Galil,★★,
2023-07-07 22:33:21,GUN,NORMAL,400/400/100/200,SMG,26,Gr MP5,★★★★,
2023-07-07 22:33:21,GUN,NORMAL,400/400/100/200,SMG,25,MP40,★★,
2023-07-07 22:33:21,GUN,NORMAL,400/400/100/200,AR,71,Galil,★★,
2023-07-07 22:33:28,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-07-07 22:33:28,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-07-07 22:33:28,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-07-07 22:33:28,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-08-17 22:35:33,GUN,NORMAL,400/400/100/200,AR,262,EM-2,★★★★,
2023-08-17 22:35:33,GUN,NORMAL,400/400/100/200,SMG,32,Micro Uzi,★★★,
2023-08-17 22:35:33,GUN,NORMAL,400/400/100/200,SMG,23,PP-90,★★★★,
2023-08-17 22:35:33,GUN,NORMAL,400/400/100/200,SMG,94,Type64,★★,
2023-08-17 22:35:47,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-08-17 22:35:47,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-08-17 22:35:47,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-08-17 22:35:47,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-08-26 12:51:20,GUN,NORMAL,400/400/100/200,SMG,25,MP40,★★,
2023-08-26 12:51:20,GUN,NORMAL,400/400/100/200,SMG,29,STEN MkⅡ,★★★,
2023-08-26 12:51:20,GUN,NORMAL,400/400/100/200,AR,61,StG44,★★★,
2023-08-26 12:51:20,GUN,NORMAL,400/400/100/200,SMG,135,SR-3MP,★★★★★,
2023-09-23 15:45:23,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★,
2023-09-23 15:45:23,GUN,NORMAL,130/130/130/30,HG,9,P38,★★,
2023-09-23 15:45:23,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★,
2023-09-23 15:45:23,GUN,NORMAL,130/130/130/30,HG,3,M9,★★★,
2023-09-23 15:45:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-09-23 15:45:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-09-23 15:45:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-09-23 15:45:27,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-10-15 23:35:36,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-10-15 23:35:36,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-10-15 23:35:36,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-10-15 23:35:36,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
2023-10-15 23:35:40,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-10-15 23:35:40,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-10-15 23:35:40,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-10-15 23:35:40,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-11-22 10:45:14,GUN,NORMAL,100/400/400/200,SMG,26,Gr MP5,★★★★,
2023-11-22 10:45:14,GUN,NORMAL,100/400/400/200,AR,68,L85A1,★★,
2023-11-22 10:45:14,GUN,NORMAL,100/400/400/200,AR,58,AK-47,★★★,
2023-11-22 10:45:14,GUN,NORMAL,100/400/400/200,AR,68,L85A1,★★,
2023-11-22 10:45:19,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-11-22 10:45:19,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,15,PEQ-15,★★★★,
2023-11-22 10:45:19,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,13,PEQ-2,★★,
2023-11-22 10:45:19,EQUIP,SPECIAL_OFFER,280/40/600/120,NIGHTEQUIP,14,PEQ-5,★★★,
