ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
323650,25,★★★★★,3000,100,Twin Fairies,18.0,60.0,48.0,12.0,0,Damage II,10,Locked
342696,21,★★,150,20,Zodiac Fairy,6.0,0.0,5.0,5.0,0,Suppression,1,Locked
421959,22,★,0,23,Beach Fairy,5.6,0.0,6.8,0.0,0,Damage II,10,Locked
421960,22,★,0,8,Beach Fairy,4.0,0.0,5.2,0.0,0,Cool,5,Locked
421961,22,★★★★★,550,100,Beach Fairy,32.0,0.0,40.0,0.0,0,Fervor,10,Locked
526765,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Accuracy I,1,Locked
526766,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Auspicious Type,1,Locked
526767,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Accuracy I,1,Locked
555365,1005,★,0,1,Sehra & Nina,2.8,8.0,10.0,0.0,0,Armor II,1,Locked
560495,1004,★,0,1,Suee,0.0,0.0,14.0,3.6,0,Sturdy,1,Locked
562774,1004,★,0,1,Suee,0.0,0.0,14.0,3.6,0,Armor I,1,Locked
563463,1004,★,0,1,Suee,0.0,0.0,14.0,3.6,0,Damage II,1,Locked
564949,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,0,Suppression,1,Locked
566440,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,0,Keen,1,Locked
568429,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,0,Keen,1,Locked
601834,1008,★,0,1,Kouji,3.2,5.2,12.0,3.2,0,Keen,1,Locked
611019,1008,★,0,1,Kouji,3.2,5.2,12.0,3.2,0,Keen,1,Locked
611020,1008,★,0,1,Kouji,3.2,5.2,12.0,3.2,0,Armor II,1,Locked
648535,28,★★★★★,550,100,Sand Dancer Fairy,30.0,30.0,60.0,0.0,0,Damage I,10,Locked
648536,28,★,0,1,Sand Dancer Fairy,5.2,5.6,11.2,0.0,0,Duststorm Type,1,Locked
671264,1007,★,0,1,Anna Graem,5.2,6.8,14.4,1.6,0,Keen,1,Locked
671790,1007,★,0,1,Anna Graem,5.2,6.8,14.4,1.6,0,Keen,1,Locked
671791,1007,★,0,1,Anna Graem,5.2,6.8,14.4,1.6,0,Suppression,1,Locked
726279,29,★,0,1,Cheerleader Fairy,5.6,12.4,3.2,3.2,0,Damage I,1,Locked
726373,29,★,0,1,Cheerleader Fairy,5.6,12.4,3.2,3.2,0,Fervor,1,Locked
734210,29,★,0,1,Cheerleader Fairy,5.6,12.4,3.2,3.2,0,Evasion II,1,Locked
734211,29,★,0,1,Cheerleader Fairy,5.6,12.4,3.2,3.2,0,Cheering Type,1,Locked
745479,19,★,0,1,Cooking Fairy,1.2,2.4,9.2,2.4,0,Sturdy,1,Locked
749989,19,★,0,1,Cooking Fairy,1.2,2.4,9.2,2.4,0,Chef,1,Locked
749990,19,★,0,1,Cooking Fairy,1.2,2.4,9.2,2.4,0,Aim,1,Locked
766307,30,★,0,1,Witch Fairy,5.6,8.0,8.0,0.0,0,Sturdy,1,Locked
772605,30,★,0,1,Witch Fairy,5.6,8.0,8.0,0.0,0,Keen,1,Locked
772606,30,★,0,1,Witch Fairy,5.6,8.0,8.0,0.0,0,Witchcraft,1,Locked
785504,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Damage I,10,Locked
859919,31,★,0,1,Trap Fairy,5.6,12.0,0.0,0.0,0,Sturdy,1,Locked
862430,31,★,0,1,Trap Fairy,5.6,12.0,0.0,0.0,0,Assault,1,Locked
862431,31,★,0,1,Trap Fairy,5.6,12.0,0.0,0.0,0,Aim,1,Locked
862432,31,★,0,1,Trap Fairy,5.6,12.0,0.0,0.0,0,Setup,1,Locked
886902,10,★,0,1,Reinforcement Fairy,2.0,0.0,14.0,2.0,0,Charge,1,Locked
886903,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Critical II,10,Locked
918525,20,★,0,1,Fireworks Fairy,3.6,8.4,3.6,0.8,0,Damage I,1,Locked
930740,20,★,0,1,Fireworks Fairy,3.6,8.4,3.6,0.8,0,Splendor,1,Locked
943711,1009,★,0,1,Drive-In Chicken,2.8,0.0,7.2,2.8,0,Evasion I,1,Locked
957453,1009,★,0,1,Drive-In Chicken,2.8,0.0,7.2,2.8,0,Evasion I,1,Locked
959182,1009,★,0,1,Drive-In Chicken,2.8,0.0,7.2,2.8,0,Sturdy,1,Locked
1016515,32,★,0,1,Peace Fairy,2.8,10.0,8.0,2.0,0,Damage I,1,Locked
1016521,32,★,0,1,Peace Fairy,2.8,10.0,8.0,2.0,0,Keen,1,Locked
1016522,32,★,0,1,Peace Fairy,2.8,10.0,8.0,2.0,0,Keen,1,Locked
1016523,32,★,0,1,Peace Fairy,2.8,10.0,8.0,2.0,0,Holy Light,1,Locked
1075105,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,0,Evasion I,1,Locked
1075106,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,0,Charge,1,Locked
1075107,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,0,Damage I,1,Locked
1075108,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,0,New Year,1,Locked
1107653,33,★,0,1,Nurse Fairy,5.6,0.0,3.2,3.2,0,Assault,1,Locked
1107654,33,★,0,1,Nurse Fairy,5.6,0.0,3.2,3.2,0,Damage II,1,Locked
1107655,33,★,0,1,Nurse Fairy,5.6,0.0,3.2,3.2,0,Accuracy I,1,Locked
1107656,33,★,0,1,Nurse Fairy,5.6,0.0,3.2,3.2,0,Healing,1,Locked
1129538,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Critical I,10,Locked
1145770,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,0,Aim,1,Locked
1145773,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,0,Accuracy II,1,Locked
1145774,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,0,Armor II,1,Locked
1145775,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,0,Cool,1,Locked
1270158,23,★,0,1,Combo Fairy,6.4,18.8,0.0,0.0,0,Accuracy I,1,Locked
1292125,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Damage II,10,Locked
1292127,5,★★★,1250,1,Defense Fairy,4.0,0.0,14.4,3.6,0,Evasion I,1,Locked
1292128,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Damage I,10,Locked
1296819,34,★★★★★,550,100,Toy Fairy,20.0,66.0,53.0,0.0,0,Entertainment-Type,10,Locked
1306768,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Sturdy,1,Locked
1306769,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Assault,1,Locked
1306770,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Auspicious Type,1,Locked
1306772,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Charge,1,Locked
1415798,35,★,0,1,Hero Fairy,6.8,10.8,0.0,4.4,0,Justice,1,Locked
1431510,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Assault,10,Locked
1431511,11,★★,390,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Accuracy I,1,Locked
1450013,28,★,0,1,Sand Dancer Fairy,5.2,5.6,11.2,0.0,0,Armor II,1,Locked
1450014,28,★,0,1,Sand Dancer Fairy,5.2,5.6,11.2,0.0,0,Charge,1,Locked
1450015,28,★,0,1,Sand Dancer Fairy,5.2,5.6,11.2,0.0,0,Duststorm Type,1,Locked
1451280,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Armor II,10,
1451281,28,★,0,1,Sand Dancer Fairy,5.2,5.6,11.2,0.0,0,Critical II,1,Locked
1459689,11,★★,420,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Aim,1,Locked
1460211,10,★★,200,1,Reinforcement Fairy,2.0,0.0,14.0,2.0,0,Armor II,1,Locked
1461262,11,★★,180,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Suppression,1,Locked
1461267,11,★★★,700,54,Parachute Fairy,15.6,0.0,13.8,3.6,0,Armor I,1,Locked
1475350,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Accuracy II,10,
1475351,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Armor I,7,
1475352,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Armor I,1,
1475944,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Keen,1,
1479937,36,★,0,1,Healing Fairy,4.8,0.0,12.8,2.4,0,Damage I,1,Locked
1480808,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Damage II,1,
1482826,36,★,0,1,Healing Fairy,4.8,0.0,12.8,2.4,0,Critical II,1,Locked
1485131,36,★,0,1,Healing Fairy,4.8,0.0,12.8,2.4,0,Evasion I,1,Locked
1485132,36,★,0,1,Healing Fairy,4.8,0.0,12.8,2.4,0,Comfort-Type,1,Locked
1487686,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Assault,1,
781646,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Damage II,10,Locked
766306,30,★★★★★,550,100,Witch Fairy,45.0,60.0,60.0,0.0,0,Fervor,10,Locked
34711,15,★★★★★,3000,100,Command Fairy,36.0,0.0,32.0,8.0,0,Damage II,10,Locked
170775,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Fervor,10,Locked
695241,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Critical II,10,Locked
120263,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Damage II,10,Locked
