Item ID,Item Name,Item Number
item-2621,item-10002621,1
item-4001,City's Gift,36340
item-4002,Snowfield's Gift,18197
item-4003,Forest's Gift,47593
item-4004,Wasteland's Gift,7069
item-6001,Ordinary Meat Bun,52
item-6002,Bundle of Meat Buns,55
item-6003,Trove of Meat Buns,86
item-6004,Commonfolk Standard,42
item-6005,Comfort Bucket for One,32
item-6006,Full Meal for Two,41
item-6007,Strawberry Cheesecake Slice,40
item-6008,One Week's Cake Selection,35
item-6009,Sweet Explosives,58
item-6010,"Baby  B-A-B-Y.",37
item-6011,Streetside Oden,41
item-6012,Wild Honeycomb,36
item-6013,Icy Theater,35
item-8001,Intel Points,2910
item-8002,Intel Points,0
item-8003,Intel Points,16
item-9019,Rabbit Hole npc card score marker,4
item-9039,Proof of Goodness,483
item-9040,Sign of the Pack,572
item-9041,Liquefied Interference Spray,0
item-9042,Doll Lubricating Oil,0
item-9043,Lost in Thoughts PT,316000
item-9044,Ace of Pentacles,0
item-9045,Ace of Wands,0
item-9046,Ace of Swords,0
item-9047,Ace of Cups,0
item-9301,A Tidy Medical Kit,1
item-9302,A Garbled Audio Recording,1
item-9303,An Old Compass,1
item-9304,A Worn  Ancient Gold Coin,1
item-9305,A Dried Rose,1
item-9306,A Box of 5.56×45mm M955 Armor-Piercing Rounds,1
item-9307,A Well-Maintained Carabiner,1
item-9308,A Hand-Drawn Map of the Dark Zone,1
item-9309,A Damaged Dog Tag,1
item-10603,Extra Potential Energy,33
item-10604,Extra Impulse,64
item-10605,Level of Activity,60
item-10606,Frontline Protocol Advanced Card,125
item-10702,Exploration Permit,1831
item-10703,Gray Zone Exploration Score,90
item-10705,Gray Zone Exploration Score,1058
item-10707,Gray Zone Exploration Score,1208
item-10708,Gray Zone Exploration Score,6962
item-10709,Gray Zone Exploration Score,214
item-10713,Gray Zone Exploration Score,1200
item-10714,Gray Zone Exploration Score,330
item-10718,Gray Zone Exploration Score,120
item-100062,Jade Coffer,0
item-100077,Supply Box - Mirror Stage,12
item-100078,Nova Medal - Mirror Stage,2
item-100081,Nova Medal - The Photo Studio Mystery,2
item-100083,Tangerine Coin,10
item-100089,item-10100089,0
item-100091,item-10100091,0
item-100101,Supply Crate: Poincarre Recurrence,6
item-100105,Nova Medal,2
item-100106,Platinum Medal,1
item-100107,Enjoy The Moment Box,60
item-100114,White Knight Armor Fragments,8
item-100115,Nova Medal - VA-11 HALL-A,4
item-100116,Platinum Medal - VA-11 HALL-A,22
item-100117,Star Ornament,100
item-100118,Nova Medal·A Snowy Night Capriccio,3
item-100119,Platinum Medal·A Snowy Night Capriccio,17
item-100123,Xmas Coin,150
item-100124,Nova Medal - One Coin Short,26
item-100125,Platinum Medal - One Coin Short,19
item-100138,True Core Mask - 6th Anniversary,0
item-100139,6th Anniversary Special Supply Box,0
item-100151,Goliath Projectile,1
item-100159,Timeless Box,60
item-100180,Supply Box - Slow Shock,0
item-100181,Nova Medal - Slow Shock,24
item-100182,Platinum Medal - Slow Shock,28
item-100183,True Core Mask - Slow Shock,0
item-100184,Corrupted Heart Mask - Slow Shock,0
item-100185,Platinum Medal,3
item-100186,True Core Mask - 7th Anniversary,0
item-100187,Future Box,0
item-100189,Platinum Medal - Lycan Sanctuary,34
item-100190,Restricted Area Lock,10
item-100191,Nova Medal - Lost in Thoughts,18
item-100192,Platinum Medal - Lost in Thoughts,14
item-100193,Thought Token,0
item-100194,Novel Medal - Reloading!,5
item-100195,Platinum Medal - Reloading!,8
item-100196,Reload Token,22
item-100198,Platinum Medal,2
item-100199,Frosty Crate,0
item-100204,Shattered Glass Commendation,20
item-100205,Nova Medal - Through the Looking-Glass,18
item-100206,Platinum Medal - Through the Looking-Glass,74
item-100211,Wood Dragon Red Packet,0
item-100212,Nova Medal - The Summer Garden of Forking Paths,5
item-100213,Platinum Medal - The Summer Garden of Forking Paths,12
item-100214,Shape of Memory,1
item-100215,Corrupted Heart Mask - The Summer Garden of Forking Paths,0
item-100216,Mobius Box,0
item-100217,True Core Mask - 8th Anniversary,0
item-100222,Novel Medal - Cartesian Theater,6
item-100223,Platinum Medal - Cartesian Theater,2
item-100224,Destiny Dice,55
item-100225,Corrupted Heart Mask - Cartesian Theater,0
item-100229,Novel Medal - Zero Charge,8
item-100230,Platinum Medal - Zero Charge,20
item-100231,Pandora Token,60
item-100232,Corrupted Heart Mask – Zero Charge,0
item-100233,Nova Medal - Angular Gyrus,14
item-100234,Platinum Medal - Angular Gyrus,46
item-100235,Pawn of Victory,90
item-100236,Corrupted Heart Mask – Angular Gyrus,0
item-100239,Autumn Fun Box,0
item-100241,Nova Medal - Isolation Forest,7
item-100242,Platinum Medal - Isolation Forest,18
item-100243,Inverted Forest Image,81
item-100244,Corrupted Heart Mask - Isolation Forest,0
item-100245,Nova Medal - Butterfly Nebula,2
item-100246,Platinum Medal - Butterfly Nebula,6
item-100247,Koen,60
item-100248,Nova Medal - Convolutional Kernel,2
item-100249,Platinum Medal - Convolutional Kernel,18
item-100250,Lone Spring Blossom,34
item-100251,Corrupted Heart Mask - Convolutional Kernel,0
item-100252,True Core Mask - Convolutional Kernel,0
item-110036,Event Points,10
item-110038,Event Points,960
item-110040,Event Points,10
item-110047,Event Points,510
item-110048,Event Points,730
item-110049,Event Points,270
item-110050,Event Points,3537500
item-110053,Event Points,284000
item-110054,Event Points,148000
item-110055,Event Points,330
item-110061,Event Points,2366268
item-110062,Event Points,1470
item-110064,Event Points,3938204
item-110065,Event Score,980
item-110066,item-10110066,7122742
item-110070,item-10110070,1300
item-110071,item-10110071,1100000
item-110072,item-10110072,780
item-110073,item-10110073,250000
item-110074,item-10110074,600
item-110075,item-10110075,897037
item-110077,item-10110077,160
item-133031,Urban Camouflage - Main Battle Tank Armor Design,1
item-133056,Urban Camouflage - Tactical Mech Armor Design,1
item-161001,Sana - Assistant Appearance,1
item-200040,Icon Frame - New Year Worship,1
item-1100007,Corona Fusion,1
item-1100008,Corona Fusion,1
item-1500063,Special Event T-Doll Transfer Letter,0
item-1700001,Basic Equipment Selection Indicator,0
item-1700002,Basic Exclusive Equipment Selection Indicator,0
item-1700003,Advanced Exclusive Equipment Selection Indicator,0
item-1800001,Military-Grade Weapon Component Box,0
item-1800002,Military-Grade Function Component Box,0
item-1800004,Industrial-Grade Component Box,0
item-1800005,Standard-Grade Component Box,0
item-1800009,Military-Grade Function Component Box 2.0,0
item-100276,item-10100276,60
item-100274,item-10100274,10
item-100275,item-10100275,16
item-1500240,item-11500240,0
gift-100001,Lollipop,135
gift-100002,Ice Cream Cone,24
gift-100003,Strawberry Custard Cheesecake,171
gift-100013,Reindeer Head Gear,1
gift-100014,Shark Volleyball,1
gift-100015,Rubber Fragments,1
gift-200001,Combat Report,3800
gift-200011,Helm of the Dark Rider,1
gift-200012,Searing Light Orb,2
gift-200017,Sugar-Free Dinergate,1
gift-400001,Rapid Growth Disk,6618
furniture-10102,Simple Workbench,2
furniture-10201,Plain Cat Bed,1
furniture-10302,Simple Doghouse,2
furniture-10401,Simple Bird Stand,1
furniture-10501,Simple Multifunction Temperature-Controlled Enclosure,1
furniture-20105,Plain Desk,5
furniture-20205,Simple Drone Console,5
furniture-20304,Archaic Operating Station,4
furniture-20404,Messy Data Table,4
furniture-20505,Ancient Computer,5
furniture-20604,Ancient Fax Machine,4
furniture-20700,Bookshelf of Memories,0
furniture-30107,Fairy Hall,7
furniture-30206,Railway Station Model,6
furniture-30306,Industrial Warehouse Model,6
furniture-30407,Dark Moon Weather System,7
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-40009,Luffberry chess,0
furniture-50110,Data Detection Hub,10
furniture-50306,Advanced Disk Drive Storage,6
furniture-60308,Integrated Indoor Training Range,8
furniture-50500,Futuristic Search Terminal,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80109,Automated Gate Console,9
furniture-80306,Advanced Loot Rack,6
furniture-90110,Impulse Reactor,10
furniture-90205,Tactical Chip Research Station,5
furniture-90400,Symmetric Infusion Drive,0
furniture-100100,Workstation,0
furniture-100200,Energy Generator,0
furniture-100300,Research Station,0
furniture-100400,Component Storage,0
furniture-100500,Armor Range,0
furniture-100600,Mobile Armor Platform,0
furniture-100700,Mobile Armor,0
