Item ID,Item Name,Item Number
item-602,Colorful Specified Dye,1
item-603,Potential Energy,0
item-604,Electronic Impulse,0
item-605,Aid Commission,136
item-606,Transfer Catalyst,942
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1014,M1918 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1020,Suomi Icon,1
item-1021,IOP,1
item-1022,AEGIS,1
item-1023,Jupiter,1
item-1026,M4A1 Celebration Icon,1
item-1027,AR15 Celebration Icon,1
item-1028,M16 Celebration Icon,1
item-1029,SOPMODII Celebration Icon,1
item-1030,The 1st Anniversary Celebration ID Card Background,1
item-1031,Bren Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1038,OTs-12 Icon,1
item-1039,PPS-43 Icon,1
item-1040,RMB-93 Icon,1
item-1041,STEN Mk II Icon,1
item-1042,SV-98 Icon,1
item-1044,SAA Icon,1
item-1045,SPAS-12 Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1048,Am KSG Icon,1
item-1049,M99 Icon,1
item-1050,RO635 Icon,1
item-1051,Manticore,1
item-1054,SPP-1,1
item-1055,Dreamer,1
item-1056,UMP40 Icon,1
item-1057,Background: Deep Dive,1
item-1058,FF FNP9 Icon,1
item-1059,Gr G3 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1069,Tokarev Icon,1
item-1070,AS Val Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1074,Stechkin Icon,1
item-1075,Kar98k Icon,1
item-1076,M950A Icon,1
item-1077,Thompson Icon,1
item-1140,Ballroom Interlude,1
item-1181,S.A.T.8 Icon,1
item-1182,USAS-12 Icon,1
item-1185,Kar98k,1
item-1186,M4A1,1
item-1187,M16A1,1
item-1188,Halloween,1
item-1189,Dinergate,1
item-1212,Icon: Korvatunturi Pixie,1
item-1222,Icon: Tactical Ferret,1
item-1223,Icon: Griffin Christmas Emblem,1
item-1226,ID Card: A Christmas Meeting with Nature,1
item-1228,Icon: Official 4-Koma vol.1,1
item-1229,Icon: Official 4-Koma vol.2,1
item-1230,Icon: Official 4-Koma vol.3,1
item-1237,Icon: Reunion,1
item-1238,ID Card: Coercion,1
item-1248,Icon: Official 4-Koma vol.4,1
item-1260,ID Card: Easter Warning,1
item-1261,Icon: Easter Bunny,1
item-1262,M1911 Neural Upgrade Icon,1
item-1263,FF FN49 Neural Upgrade Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1265,ST AR-15 Neural Upgrade Icon,1
item-1267,Type64 Neural Upgrade Icon,1
item-1268,M1895 Neural Upgrade Icon,1
item-1269,Mosin-Nagant Neural Upgrade Icon,1
item-1270,M1918 Neural Upgrade Icon,1
item-1276,Icon: Black Rider,1
item-1277,Icon: Wind Speaker,1
item-1278,Icon: Fallen Angel,1
item-1279,Icon: White Doll,1
item-1280,Icon: Cat Warrior,1
item-1281,Icon: El Clear,1
item-1282,Icon: El Fail,1
item-1283,Icon: Queen of Pocket City,2
item-1286,ID Card: Big Adventure in Pocket City,1
item-1287,Icon: Official 4-koma - VOL. 5,1
item-1301,Icon: Heartless Doll,1
item-1302,Icon: Smile of the Wolf,1
item-1304,ID Card: Pippa's Song,1
item-1305,Icon: Official 4-koma - VOL. 6,1
item-1313,Icon: Metal Zongzi,1
item-1314,Icon: Zongzi Cat,1
item-1315,ID Card: Type Zongzi,1
item-1318,SAA Neural Upgrade Icon,1
item-1319,SV-98 Neural Upgrade Icon,1
item-1320,Gr G3 Neural Upgrade Icon,1
item-1321,Bren Neural Upgrade Icon,1
item-1332,Icon: Reservoir Dog,1
item-1333,ID Card: Final Flight,1
item-1344,M4 SOPMOD II Neural Upgrade Icon,1
item-1345,UMP45 Neural Upgrade Icon,1
item-1357,Icon: Trick or Dinergate,1
item-1366,STEN MkII Neural Upgrade Icon,1
item-1367,M14 Neural Upgrade Icon,1
item-1368,Gr G36 Neural Upgrade Icon,1
item-1369,LWMMG Neural Upgrade Icon,1
item-1385,Icon: Magic Candy Cane,1
item-1386,Icon: T-Reindeer,1
item-1388,Background: Winter is Coming,1
item-1389,Icon: Official 4-koma - VOL. 7,1
item-1403,Icon: Official 4-koma - VOL. 8,1
item-1405,ID Card: Sangvis Presence,1
item-1406,Icon: Fatal Freedom,1
item-1416,Icon: Brandy Chocolate Dog,1
item-1417,Icon: Express Postal Pigeon,1
item-1419,Icon: Official 4-koma - VOL. 9,1
item-1430,Icon: Official 4-koma - VOL. 10,1
item-1433,Obsidian Princess,1
item-1437,1st Anniversary Icon,1
item-1438,Background: Witching Hour,1
item-1445,Micro Uzi Neural Upgrade Icon,1
item-1446,AS Val Neural Upgrade Icon,1
item-1447,StG44 Neural Upgrade Icon,1
item-1459,Icon: Beer Wave,1
item-1460,Icon: Crimson Fist Grand Slam,1
item-1461,Icon: Kitty Friends Won't Leave,1
item-1462,Icon: A Toast To This Damn World,1
item-1463,Icon: Dear Becky,1
item-1464,Icon: Super-Shorty Squad Leader,1
item-1465,ID Card: Welcome to VA-11 Hall-A,1
item-1478,Icon: Summer Protector,1
item-1479,ID Card: Tacticool Watermelon Festival,1
item-1491,Icon: Lost Queen-of-the-Night,1
item-1492,ID: Train Station of the Beginning,1
item-1493,MP5 Neural Upgrade Icon,1
item-1494,416 Neural Upgrade Icon,1
item-1495,Type88 Neural Upgrade Icon,1
item-1496,UMP9 Neural Upgrade Icon,1
item-1502,Background: Phantasmal Sea of Flowers,1
item-1513,Icon: Eulogizer,1
item-1514,Icon: Possessed Night Face-off,1
item-1515,ID Card: When Madness Descends,1
item-1525,Icon: Gourmet of Doom,1
item-1540,Icon: "Merry X'mas WOOF!",1
item-1541,Icon: "I want hugs!",1
item-1542,ID Card: An Embrace through Time and Space,1
item-1550,Stechkin Neural Upgrade Icon,1
item-1552,M38 Neural Upgrade Icon,1
item-1553,NTW-20 Neural Upgrade Icon,1
item-1555,Background: The Cozy Snowy Yard,1
item-1563,ID Card: Rider in the Snow,1
item-1566,Icon: Split-Second,1
item-1567,ID: Impending Boom,1
item-1578,Scarecrow Icon,1
item-1583,Architect Icon,1
item-1586,Aegis Icon,1
item-1587,Nemeum Icon,1
item-1591,Ripper Icon,1
item-1592,Vespid Icon,1
item-1594,Jaeger Icon,1
item-1595,Striker Icon,1
item-1597,Scout Icon,1
item-1598,Prowler Icon,1
item-1611,Icon: Tsavorite Girl,1
item-1612,Icon: The Eye of Storytelling,1
item-1613,ID: The Edge of Time,1
item-1614,Background: Twilight City,1
item-1615,ID Card: Black Canyon,1
item-1616,M950A Neural Upgrade Icon,1
item-1617,M500 Neural Upgrade Icon,1
item-1619,KSVK Neural Upgrade Icon,1
item-1626,Icon: 2nd Anniversary Icon,1
item-1669,ID Card: BBQ by the Azure Sea,1
item-1670,Icon: Tropical Mojito,1
item-1671,Icon: Sunset of Day 51,1
item-1673,Icon: Soothing Vanilla,1
item-1674,Icon: Girls' Sorcerer,1
item-1675,Icon: Dessert Taster,1
item-1676,Icon: Sleeping Pumpkin Princess,1
item-1677,Icon: Honey Sunlight,1
item-1678,ID: Seed of All Wishes,1
item-1679,ID: Fruit of Doubt,1
item-1697,Icon: Concert Ticket,1
item-1698,ID: Gilded Name Card,1
item-1699,ID: Royal Flush,1
item-1700,Icon: King of Tricks,1
item-1701,ID: Polaris Light,1
item-1703,Icon: Constructive Pattern,1
item-1704,Icon: Tipped Scales,1
item-1705,ID: Rebels' Smoke Signal,1
item-1706,Background: Chloris' Floral Path,1
item-1707,Gr G11 Neural Upgrade Icon,1
item-1708,Super SASS Neural Upgrade Icon,1
item-1709,RO635 Neural Upgrade Icon,1
item-1716,Ouroboros Icon,1
item-1726,Guard SWAP Icon,1
item-1741,Icon: Silent Farewell,1
item-1742,Icon: Life of Deception,1
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1747,Gager Icon,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1768,PP-19 Neural Upgrade Icon,1
item-1769,M1897 Neural Upgrade Icon,1
item-1770,Icon: Spring,1
item-1771,Icon: Summer,1
item-1772,Icon: Fall,1
item-1773,Icon: Winter,1
item-1774,ID: Work Checklist,1
item-1776,ID: Girls by the Hearth,1
item-1779,Dragoon SWAP Icon,1
item-1798,Agent Icon,1
item-1799,Dinergate Icon - HD,1
item-1800,Striker SWAP Icon,1
item-1802,Welrod MkII Neural Upgrade Icon,1
item-1806,Icon: Sunderer,1
item-1807,Icon: Weaver of Fate,1
item-1808,Icon: Agent "U",1
item-1809,Icon: Lone Shadow,1
item-1810,Icon: Hidden Edge,1
item-1811,Icon: Ephemeral Dream,1
item-1812,Icon: Worldliness,1
item-1813,ID: Gentle Morning Light,1
item-1814,ID: Advent,1
item-1815,ID: Ashes,1
item-1816,ID: Dark Dreams,1
item-1817,ID: Elusive Truth,1
item-1818,ID: Revealed Dagger,1
item-1819,Background: Phantasmic Dreamscape,1
item-1820,Background: Whispering Wind,1
item-1821,Background: Peaceful Afternoon,1
item-1822,Background: Hall of Vultures,1
item-1823,Adeline Icon,1
item-1824,Scout Icon - HD,1
item-1825,Aegis SWAP Icon,1
item-1835,Prowler Icon - HD,1
item-1844,ID: Spring Carnival,1
item-1855,Alina Icon,1
item-1860,ID: Fragments of Precious Treasures,1
item-1861,Makarov Neural Upgrade Icon,1
item-1862,Gr MG4 Neural Upgrade Icon,1
item-1889,Icon: Waves Wrangler,1
item-1890,Icon: In Oceans Deep,1
item-1891,Icon: Best Actress,1
item-1900,ID: In Light and Shadow,1
item-1906,Icon: Scry Thy Heart,1
item-1907,Icon: Taste the Warmth,1
item-1908,Icon: Memory of a Friend,1
item-1909,Icon: Sigh of Nostalgia,1
item-1910,Icon: Toil for Tomorrow,1
item-1911,Icon: Call of the Devil,1
item-1912,Icon: Mourning ★ Tears,1
item-1913,Icon: Demon Overlord ☆ Mind's Eye,1
item-1914,ID: Cozy Tatami,1
item-1915,Background: Birthplace of Dreams,1
item-1916,Background: Promised Dream Hotel,1
item-1922,Prowler SWAP Icon – HD,1
item-1930,Architect - Type NVW Icon,1
item-1941,Icon: Valiant Knight,1
item-1942,Icon: Wild Hunt,1
item-1943,Icon: Messenger of Loss,1
item-1944,Icon: Moth on a Leaf,1
item-1945,Icon: Betrayal of Righteousness,1
item-1946,Icon: Each Searching A Corner,1
item-1947,Icon: Rainy Night Whisky,1
item-1948,ID Card: Through The Fire And The Flames,1
item-1949,ID Card: The Storm Comes,1
item-1950,ID Card: Fireworks Night,1
item-1951,ID Card: Fatal Bullet,1
item-1952,ID Card: Bloodstained Rider,1
item-1953,ID Card: Moment of Conclusion,1
item-1954,Background: Lazy Afternoon,1
item-1988,Jaeger SWAP Icon,1
item-1990,Icon: Pink Eye of Enthrallment,1
item-1991,Icon: Purple Night of Rapture,1
item-1992,ID card: Maelstrom of Pink and Purple,1
item-2013,Icon: Birth of Starlight,1
item-2014,Icon: Raise a Glass in Joyful Song,1
item-2015,Icon: Walking in Solitude,1
item-2016,Icon: Best Partner,2
item-2017,Icon: Setting Sail,1
item-2018,Icon: Friend of Pure Loyalty,1
item-2019,ID: Screen Breakers,1
item-2020,PPSh-41 Neural Upgrade Icon,1
item-2021,AN-94 Neural Upgrade Icon,1
item-2023,AK-15 Neural Upgrade Icon,1
item-2028,Icon: Clandestine Sniping,1
item-2029,Icon: All-Sugar Cake,1
item-2030,Icon: Celebrate With A Toast,1
item-2031,Icon: Wordless Observation,1
item-2032,Icon: Blade Dancer,1
item-2033,Icon: Doomsday Simulation,1
item-2034,Icon: Holding Out In Adversity,1
item-2035,ID Card: Treachery and Loyalty,1
item-2036,ID Card: Where My Heart Is At Ease,1
item-2037,ID Card: Final Shot,1
item-2038,ID Card: Operation Aeneas Mission Briefing,1
item-2039,Background: Dawn In Avernus,1
item-2059,Icon: Language of Flowers,1
item-2060,Icon: Where Eyes Point,1
item-2061,Icon: Chocolate For Her,1
item-2062,ID Card: Nighttime Cocoa Fragrance,1
item-2074,ID: A Promise of Four Years,1
item-2075,PPK Neural Upgrade Icon,1
item-2076,MG3 Neural Upgrade Icon,1
item-2077,Suomi Neural Upgrade Icon,1
item-2079,Cerberus Icon,1
item-2089,ID: Party All Night Long,1
item-2109,Alina - Mosasaur Rider Icon,1
item-2110,Jaws Paradise Icon,1
item-2111,Icon: First Ever Lycan Tour!,1
item-2112,Icon: Overheat!,1
item-2113,Icon: No-Melt Snowball,1
item-2114,ID: Memories on a Glistening Night,1
item-2115,Background: Night Market,1
item-2124,ID: Mirror Stage,1
item-2127,Kar98k Neural Upgrade Icon,1
item-2144,Icon: Sincere Concern,1
item-2145,Icon: Desperate Gambler,1
item-2146,Icon: Cornered Beasts,1
item-2147,Icon: Goodbye  Fledgling,1
item-2148,Icon: Pine Ashes,1
item-2149,Icon: Burning Fields,1
item-2150,Icon: Determination at Dawn,1
item-2151,ID: Undercurrent in the Carriage,1
item-2152,ID: Treacherous Journey,1
item-2153,ID: End of the Long Night,1
item-2154,ID: Memory of the End,1
item-2155,ID: Hope of Survival,1
item-2156,Background: Intercontinental Railway "Future",1
item-2174,ID: Power Struggle,1
item-2194,Icon: Gag Genius,1
item-2195,Icon: Glory of the Sun,1
item-2196,Icon: Forbidden Depths of the Moon,1
item-2197,Icon: Charging...,1
item-2198,Icon: Superb Writer,1
item-2199,Icon: Paycheck to Paycheck,1
item-2200,Icon: White Angel,1
item-2201,Icon: Daybreak Guardian,1
item-2202,ID: Scales of Destiny,1
item-2203,ID: Neon Twilight,1
item-2204,Background: Metropolitan Parade,1
item-2224,ID: Fixed Point,1
item-2235,Scarecrow - Demonic Abyss Icon,1
item-2243,Icon: Change Your Destiny,1
item-2244,Icon: Spirit Singing of the Past,1
item-2245,Icon: Awaken  Dream Chaser,1
item-2246,Icon: Shout Out Your Dream,1
item-2247,Icon: Begone  Fetters!,1
item-2248,Icon: Laugh and I'll Kill You!,1
item-2249,Icon: To My Beloved,1
item-2250,Icon: My Humble Wish,1
item-2251,Icon: Woof! Arf! Ruff!,1
item-2252,Icon: Dried! Shredded! Squid!,1
item-2253,Icon: Please Keep Your Eyes on Me,1
item-2254,ID: Crying Out Love from 2 000 Feet Away,1
item-2255,ID: Chorus Under the Spotlight,1
item-2256,ID: The Enduring Legend in the Mansion,1
item-2257,ID: May the Show Never End!,1
item-2258,Background: Sunny Weather  Perfect for a Bath,1
item-2259,Background: Midnight,1
item-2275,100 Shiki Neural Upgrade Icon,1
item-2276,DP-12 Neural Upgrade Icon,1
item-2286,ID Card: Wonderful Date,1
item-2287,Icon: Figure in the Mirror,1
item-2288,Icon: Baldr's Return,1
item-2289,Icon: Into Darkness,1
item-2290,Icon: The Fall of Kepler-78b,1
item-2291,Icon: Story Thief,1
item-2292,Icon: Character in a Story,1
item-2293,Icon: Hodur's Return,1
item-2294,Icon: Walking Against the Light,1
item-2295,ID: Oath of Honor,1
item-2296,ID: Endless Song,1
item-2297,ID: Silent Port of Spirits,1
item-2298,ID: Dawn is Nigh,1
item-2299,Background: Phonograph Museum,1
item-2314,PA-15 Icon,1
item-2321,ID Card: Childhood Tales of Summer Flowers,1
item-2322,Sana Icon,1
item-2329,Icon: MK3A1,1
item-2330,ID Card: Wrench Wench,1
item-2360,AUG Icon,1
item-2361,ID: Pure White Courage,1
item-2370,WA2000 Icon,1
item-2371,ID: Code 47,1
item-2397,NTW-20 Icon,1
item-2398,ID: Hunting Banquet,1
item-2408,A-545 Icon,1
item-2409,ID: Bacchanalia,1
item-2417,Icon: Melancholic Vigil,1
item-2418,Icon: Into the Pink Vortex,1
item-2419,Icon: Bonds and Connections,1
item-2420,Icon: The Knight's Charge,1
item-2421,Icon: Watching the Sun Go Down,1
item-2422,Icon: Late-Night Drink With Cherry Blossoms,1
item-2423,ID: Shining Long Night,1
item-2424,ID: Stinging Truth,1
item-2425,ID: End of the World,1
item-2426,ID: Cold Wonderland,1
item-2427,Background: Tachikoma's Daily Life,1
item-2432,VHS Icon,1
item-2433,ID: Cool Girls Don't Look at Explosions!,1
item-2452,M110 Icon,1
item-2453,ID: Dream Baker,1
item-2476,Icon: Keeper of the Keys,1
item-2477,Icon: A Gaze Frozen in Time,1
item-2478,Icon: Metamorphosis,1
item-2479,ID: A Letter from Erma,1
item-2480,ID: Up the Stairway to the World,1
item-2481,ID: Ascension,1
item-2482,Background: Private Cell,1
item-2510,Icon: Key of Awakening,1
item-2511,Icon: Glimpse of the Lone Wolf,1
item-2512,Icon: Leader of the Pack,1
item-2513,ID: Lost Path,1
item-2514,ID: Reversing Time,1
item-2515,ID: Heretic Clock Tower,1
item-2516,ID: Butterfly Wings and the Prisoner,1
item-2517,Background: Maze of Forking Paths,1
item-2518,Background: Above the Vortex  Below the Abyss,1
item-2519,Background: Dismembered Void,1
item-4001,City's Gift,30722
item-4002,Snowfield's Gift,40474
item-4003,Forest's Gift,22405
item-4004,Wasteland's Gift,2421
item-6001,Ordinary Meat Bun,47
item-6002,Bundle of Meat Buns,51
item-6003,Trove of Meat Buns,67
item-6004,Commonfolk Standard,51
item-6005,Comfort Bucket for One,55
item-6006,Full Meal for Two,38
item-6007,Strawberry Cheesecake Slice,91
item-6008,One Week's Cake Selection,85
item-6009,Sweet Explosives,255
item-6010,"Baby  B-A-B-Y.",48
item-6011,Streetside Oden,79
item-6012,Wild Honeycomb,75
item-6013,Icy Theater,87
item-7004,Lovestruck,0
item-7023,Memories in the Photo Album,0
item-7024,Legend,5
item-7031,Night of Sighs,1
item-7035,Spring-Filling Japanese Cherry,1
item-7201,Cards of Unpredictability,1
item-8001,Intel Points,11310
item-8002,Intel Points,0
item-8003,Intel Points,0
item-9003,Supply Box,0
item-9004,Supply Box,0
item-9005,Supply Box,0
item-9006,The Division Silver Medal Mark 1*,1
item-9007,The Division Silver Medal Mark 2*,1
item-9013,Proof of Goodness,160
item-9014,Sign of the Pack,2320
item-9015,Rabbit Hole npc1,0
item-9016,Rabbit Hole npcnpc2,1
item-9017,Rabbit Hole npcnpc3,0
item-9018,Rabbit Hole npcnpc4,0
item-9019,Rabbit Hole npc card score marker,2
item-9020,Popularity Token,312731
item-9021,Intonation,100
item-9022,Rhythm,100
item-9023,Savings,110
item-9024,Vigor,925
item-9025,Inspiration,1710
item-9026,The Cage Conundrum PT,4500
item-9030,Performance Score,9500
item-9031,Performance Score,8000
item-9033,Dusty Blueprints,1
item-9035,Ring-Shaped Parts,1
item-9036,Intricate Mechanical Core,1
item-9037,Dual-Chip Module,3
item-9041,Liquefied Interference Spray,1
item-9042,Doll Lubricating Oil,2
item-9043,Lost in Thoughts PT,300000
item-9044,Ace of Pentacles,1
item-9045,Ace of Wands,0
item-9046,Ace of Swords,0
item-9047,Ace of Cups,0
item-10603,Extra Potential Energy,0
item-10604,Extra Impulse,86
item-10605,Level of Activity,170
item-10606,Frontline Protocol Advanced Card,1325
item-10702,Exploration Permit,11820
item-10703,Gray Zone Exploration Score,6857
item-10704,Gray Zone Exploration Score,6006
item-10705,Gray Zone Exploration Score,6360
item-10706,Gray Zone Exploration Score,10020
item-10707,Gray Zone Exploration Score,13835
item-10708,Gray Zone Exploration Score,10590
item-10709,Gray Zone Exploration Score,8040
item-10710,Gray Zone Exploration Score,8220
item-10711,Gray Zone Exploration Score,12000
item-10712,Gray Zone Exploration Score,6146
item-10713,Gray Zone Exploration Score,6112
item-10714,Gray Zone Exploration Score,990
item-100020,True Core Mask·3rd Anniversary,0
item-100021,Crate,0
item-100023,White Knight Armor Fragments,60
item-100025,True Core Mask - Shattered Connexion,0
item-100030,Nova Medal,2
item-100031,Platinum Medal,3
item-100032,True Core Mask - Polarized Light,0
item-100033,Nova Medal,4
item-100034,Platinum Medal,2
item-100035,Tangerine Coin,10
item-100040,True Core Mask - 4th Anniversary,0
item-100045,4th Anniversary Special Supply Box,0
item-100047,Nova Medal,3
item-100048,Platinum Medal,3
item-100050,Nova Medal – Il Teatrino,0
item-100051,Platinum Medal – Il Teatrino,4
item-100052,Augustus,6
item-100057,True Core Mask - Dual Randomness,0
item-100058,Nova Medal - Dual Randomness,3
item-100059,Platinum Medal - Dual Randomness,3
item-100062,Jade Coffer,0
item-100063,Strange Soap,15
item-100064,Nova Medal,3
item-100065,Platinum Medal,2
item-100066,Butterfly Mirage,15
item-100067,Nova Medal - Butterfly in a Cocoon,1
item-100068,Platinum Medal - Butterfly in a Cocoon,34
item-100069,Commander Headwear: Monster Overlord,1
item-100070,Phoenix Token,6
item-100071,Nova Medal - Bounty Feast,3
item-100072,Platinum Medal - Bounty Feast,0
item-100073,Star Ornament,0
item-100074,Nova Medal·A Snowy Night Capriccio,3
item-100075,Platinum Medal·A Snowy Night Capriccio,3
item-100077,Supply Box - Mirror Stage,84
item-100078,Nova Medal - Mirror Stage,3
item-100079,Platinum Medal - Mirror Stage,1
item-100080,True Core Mask - Mirror Stage,0
item-100081,Nova Medal - The Photo Studio Mystery,2
item-100082,Platinum Medal - The Photo Studio Mystery,1
item-100083,Tangerine Coin,0
item-100092,Nova Medal - Far Side of the Sea,4
item-100093,Platinum Medal - Far Side of the Sea,4
item-100094,Azure Conch,2
item-100095,Nova Medal – The Waves Wrangler,198
item-100096,Platinum Medal – The Waves Wrangler,113
item-100097,Star Marker,5
item-100098,Nova Medal – My Devil's Frontline,4
item-100099,Platinum Medal – My Devil's Frontline,1
item-100100,Token of Life,5
item-100101,Supply Crate: Poincarre Recurrence,0
item-100102,Nova Medal: Poincarre Recurrence,4
item-100103,Platinum Medal: Poincarre Recurrence,1
item-100104,True Core Mask: Poincarre Recurrence,0
item-100108,Strange Soap,10
item-100109,Nova Medal - Freaky Pandemic,4
item-100110,Platinum Medal - Freaky Pandemic,2
item-100111,Butterfly Mirage,0
item-100112,Nova Medal - Butterfly in a Cocoon,1
item-100113,Platinum Medal - Butterfly in a Cocoon,7
item-100114,White Knight Armor Fragments,87
item-100115,Nova Medal - VA-11 HALL-A,4
item-100116,Platinum Medal - VA-11 HALL-A,3
item-100117,Star Ornament,0
item-100118,Nova Medal·A Snowy Night Capriccio,3
item-100119,Platinum Medal·A Snowy Night Capriccio,3
item-100120,Quick-Build Materials,12
item-100122,Quick-Build Materials,0
item-100123,Xmas Coin,40
item-100124,Nova Medal - One Coin Short,2
item-100125,Platinum Medal - One Coin Short,1
item-100126,Supply Crate - Fixed Point,0
item-100127,Nova Medal - Fixed Point,4
item-100128,Platinum Medal - Fixed Point,3
item-100129,True Core Mask - Fixed Point,0
item-100130,Corrupted Heart Mask - Fixed Point,0
item-100134,Nova Medal: Love Bakery,1
item-100135,Platinum Medal: Love Bakery,1
item-100136,Fragrant Cocoa,0
item-100138,True Core Mask - 6th Anniversary,0
item-100139,6th Anniversary Special Supply Box,0
item-100144,Nova Medal – Waves Wrangler,0
item-100145,Platinum Medal – Waves Wrangler,1
item-100146,Star Marker,0
item-100147,Platinum Medal - Lycan Sanctuary,584
item-100148,Restricted Area Lock,30
item-100151,Goliath Projectile,3
item-100152,Supply Box - Longitudinal Strain,0
item-100153,Nova Medal - Longitudinal Strain,40
item-100154,Platinum Medal - Longitudinal Strain,72
item-100155,True Core Mask - Longitudinal Strain,0
item-100156,Corrupted Heart Mask - Longitudinal Strain,0
item-100160,Butterfly Mirage,0
item-100161,Nova Medal - Butterfly in a Cocoon,4
item-100162,Platinum Medal - Butterfly in a Cocoon,1
item-100163,Penumbra Coin,0
item-100164,Nova Medal – Eclipses & Saros,4
item-100165,Platinum Medal – Eclipses & Saros,0
item-100166,Christmas Coin,0
item-100167,Nova Medal: One Coin Short,2
item-100168,Platinum Medal: One Coin Short,1
